Date,Close,High,Low,Open,Volume,return_1d,SMA_5,SMA_10,price_over_sma5,target
2018-01-16,41.26226043701172,42.01167360260789,41.25055013043537,41.662726478142304,118263600,-0.005082089561848635,41.08567657470703,40.84422760009765,1.0042979421790366,1
2018-01-17,41.94376754760742,41.97889490055717,40.99997454785581,41.252898636063065,137547200,0.016516475427613697,41.30909729003906,41.004415130615236,1.015363934319654,1
2018-01-18,41.981224060058594,42.17794790326898,41.74469161004063,42.00698530300974,124773600,0.0008930173573142852,41.54188461303711,41.16905212402344,1.0105758188660416,0
2018-01-19,41.793888092041016,42.05618187681274,41.547985882075125,41.82901544768551,129700400,-0.004462375078667868,41.690834045410156,41.29621963500976,1.0024718633961271,0
2018-01-22,41.45195388793945,41.634623229363534,41.3582785853828,41.52221215159881,108434400,-0.008181440390244044,41.68661880493164,41.343057250976564,0.9943707375719226,1
2018-01-23,41.46133041381836,42.023393090934235,41.40981148589692,41.522222591926244,130756400,0.0002262022655012963,41.72643280029297,41.4060546875,0.9936466558801368,0
2018-01-24,40.8009033203125,41.52221462816889,40.56202663901651,41.510504321279925,204420400,-0.01592874823152679,41.497859954833984,41.40347862243652,0.9832049981546025,0
2018-01-25,40.07257080078125,40.9718667190559,39.93673908810159,40.86882172505862,166116000,-0.017850892021026743,41.116129302978514,41.32900695800781,0.9746192426211271,1
2018-01-26,40.16624069213867,40.28099597876492,39.82666324306097,40.28099597876492,156572000,0.002337506416124402,40.79059982299805,41.2407169342041,0.9846935535743861,0
2018-01-29,39.33486557006836,39.850086936789836,39.126434961888506,39.850086936789836,202561600,-0.020698355328857776,40.36718215942383,41.02690048217774,0.9744268355101305,0
2018-01-30,39.1030158996582,39.19669121606022,38.571399366691885,38.76577904303612,184192800,-0.005894253534365235,39.8955192565918,40.81097602844238,0.9801355297110802,1
2018-01-31,39.210731506347656,39.44726751226746,38.99293484679967,39.07958466961124,129915600,0.0027546623760648092,39.577484893798825,40.537672424316405,0.9907332821063465,1
2018-02-01,39.29270935058594,39.48942965217391,39.05383265666675,39.149852175352834,188923200,0.0020906991807845277,39.421512603759766,40.26882095336914,0.9967326658804679,0
